(39,57,76)
(108,219,71)
(114,39,199)
(224,222,64)
(74,72,216)
(166,212,76)
(172,70,228)
(100,219,135)
(200,45,194)
(86,153,61)
(222,91,236)
(188,176,68)
(75,43,159)
(220,156,48)
(153,105,227)
(197,220,145)
(235,60,178)
(109,222,189)
(184,48,151)
(52,98,43)
(144,58,167)
(130,131,56)
(96,117,225)
(228,72,33)
(102,190,212)
(221,54,64)
(97,150,215)
(222,122,59)
(46,33,114)
(218,175,115)
(106,33,112)
(86,155,123)
(227,57,101)
(176,222,213)
(226,70,141)
(41,58,40)
(218,111,211)
(91,79,37)
(187,146,219)
(166,55,33)
(60,93,150)
(156,97,43)
(101,86,161)
(213,202,173)
(35,30,70)
(222,109,97)
(74,117,133)
(170,48,90)
(167,178,214)
(113,43,26)
(219,179,205)
(74,36,28)
(220,128,185)
(125,132,108)
(153,48,113)
(217,153,136)
(73,40,91)
(215,119,143)
(58,31,47)
(156,92,147)
(144,103,89)
(107,39,67)
(133,105,128)
(158,66,72)
